"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OBČANSKÁ DEMOKRATICKÁ STRANA","1/7","0",0,"0","44","100%","100%",53
"METODĚJ PÁNEK","1/7","0",1,"0","64","0%","0%",801
"LUBOŠ ŠTĚPÁNEK","1/7","0",1,"0","49","0%","0%",802
"IVA ŠTĚPÁNKOVÁ","1/7","0",1,"0","45","100%","0%",803
"VÍT ŠNÉVAJS","1/7","0",0,"0","34","0%","0%",804
"EVA OPLTOVÁ","1/7","0",1,"0","50","100%","0%",805
"MVDR. JAROMÍR HEJL","1/7","0",1,"0","57","0%","100%",806
"JOSEF KOLÁŘ","1/7","0",1,"0","52","0%","0%",807
"MARTIN BURDA","1/7","0",0,"0","38","0%","0%",808
"ING. JIŘÍ KOSTELECKÝ","1/7","0",0,"0","61","0%","100%",809
"ING. RICHARD POLNICKÝ","1/7","0",0,"0","38","0%","100%",810
"LUCIE BORKOVCOVÁ, BA","1/7","0",0,"0","36","100%","100%",811
