"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"JARMILA KALOČAIOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","54","100%","0%","1",0,801
"VERONIKA STALMACHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","30","100%","0%","1",0,802
"JIŘÍ HUBÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","59","0%","0%","1",0,803
"TOMÁŠ VRBA, NEZÁVISLÝ KANDIDÁT","1/7","24","0%","0%","1",0,804
"PETR RYŠAVÝ, NEZÁVISLÝ KANDIDÁT","1/7","44","0%","0%","1",0,805
"JARMILA JAŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","61","100%","0%","0",0,806
"PAVEL HAMR, NEZÁVISLÝ KANDIDÁT","1/7","34","0%","0%","1",0,807
"STANISLAVA SLÁDKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","65","100%","0%","0",0,808
"PAVLÍNA GÁLIKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","48","100%","0%","0",0,809
"JANA KREJČÍ, NEZÁVISLÝ KANDIDÁT","1/7","47","0%","0%","0",0,810
"FRANTIŠEK KELAR, NEZÁVISLÝ KANDIDÁT","1/7","66","0%","0%","0",0,811
