"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"FRANTIŠEK RYCHETSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","64","0%","0%",801
"VÁCLAV BAMBAS, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","63","0%","0%",802
"JAROSLAV VÁCHA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","41","0%","0%",803
"RADEK SADSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","41","0%","0%",804
"JOSEF MACHEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","32","0%","100%",805
"RADEK MAREŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","28","0%","0%",806
"DAVID HRUŠKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","37","0%","100%",807
"VLADIMÍR JILICH, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","60","0%","0%",808
"PAVEL HORÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","46","0%","100%",809
"MILAN HAVEL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","30","0%","0%",810
"ANTONÍN KRATOCHVÍL, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","0%",811
"PETR JÍRŮ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","45","0%","0%",812
"MARIE NECHVÁTALOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","46","100%","0%",813
"MICHAL VYTISKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","29","0%","0%",814
"MONIKA KOUBKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","100%","0%",815
"MILOSLAVA KANĚROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","59","100%","0%",816
