"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"PAVLA ČECHOVÁ","1/7","0",0,"0","40","100%","0%",801
"PAVEL NOVOTNÝ","1/7","1",0,"0","51","0%","0%",802
"VÁCLAV ŠVEC","1/7","1",0,"0","48","0%","0%",803
"ROMAN TECL","1/7","0",0,"0","41","0%","0%",804
"MAREK BÁRTA","1/7","1",0,"0","32","0%","0%",805
"MARTIN POULÍČEK","1/7","0",0,"0","39","0%","0%",806
"IVANA KRUMLOVÁ","1/7","0",0,"0","49","100%","0%",807
"JOSEF ČECH","1/7","1",0,"0","34","0%","0%",808
"RADEK MILICHOVSKÝ","1/7","1",0,"0","48","0%","0%",809
"MIROSLAV ŠTAMPFER","1/7","0",0,"0","67","0%","0%",810
