"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"BOHUSLAV HURDA","1/7","0",1,"0","56","0%","0%",801
"VLADISLAV MAREK","1/7","0",1,"0","54","0%","0%",802
"PAVEL NACHÁZEL","1/7","0",1,"0","47","0%","0%",803
"ZDENĚK KAHOUN","1/7","0",0,"0","42","0%","100%",804
"PETR MAREK","1/7","0",1,"0","37","0%","0%",805
"FRANTIŠEK TOMOLA","1/7","0",0,"0","67","0%","100%",806
"PETR TOMŠÍK","1/7","0",1,"0","53","0%","0%",807
"MARTIN CHÁB","1/7","0",0,"0","23","0%","0%",808
"VÁCLAV MARTÍNEK","1/7","0",1,"0","57","0%","0%",809
