"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"JOSEF CHROMÝ","1/7","71","0%","0%","0",0,801
"JOSEF WOLFSCHÜTZ","1/7","57","0%","0%","0",0,802
"FRANTIŠEK VYKLICKÝ","1/7","45","0%","0%","0",0,803
"HELENA VEJLUPKOVÁ","1/7","60","100%","0%","0",0,804
"RADEK STEHLÍK","1/7","44","0%","0%","0",0,805
"JIŘÍ KOCH","1/7","27","0%","0%","0",0,806
"JAN JEDLIČKA","1/7","57","0%","0%","0",0,807
"KAREL KOCH","1/7","24","0%","0%","0",0,808
"ALEŠ BOHDÁLEK","1/7","57","0%","0%","0",0,809
"FRANTIŠEK KUCHAŘÍK","1/7","64","0%","0%","0",0,810
"MAREK VIKLICKÝ","1/7","23","0%","0%","0",0,811
