"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"JIŘÍ IRAL, NEZÁVISLÝ KANDIDÁT","1/7","52","0%","0%","0",1,801
"JAKUB SLAVÍK, NEZÁVISLÝ KANDIDÁT","1/7","32","0%","0%","0",0,802
"VÁCLAV TŮMA, NEZÁVISLÝ KANDIDÁT","1/7","35","0%","0%","0",1,803
"MGR. IVA BUKAČOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","32","100%","100%","0",0,804
"ING. JINDŘICH TUREK, NEZÁVISLÝ KANDIDÁT","1/7","28","0%","100%","0",0,805
"BC. PETR NOVÁK, NEZÁVISLÝ KANDIDÁT","1/7","25","0%","100%","0",1,806
"ING. ZDENĚK ŠPAČEK, NEZÁVISLÝ KANDIDÁT","1/7","30","0%","100%","0",0,807
"ING. VĚNCESLAVA JAKUBCOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","50","100%","100%","0",1,808
"JAN BALOUŠEK, NEZÁVISLÝ KANDIDÁT","1/7","37","0%","0%","0",1,809
"JINDŘICH TUREK, NEZÁVISLÝ KANDIDÁT","1/7","51","0%","0%","0",0,810
"FRANTIŠEK KRUMP, NEZÁVISLÝ KANDIDÁT","1/7","63","0%","0%","0",1,811
"ING. MIROSLAV DUŠEK, NEZÁVISLÝ KANDIDÁT","1/7","61","0%","100%","0",1,812
"MICHAL TROBL, NEZÁVISLÝ KANDIDÁT","1/7","37","0%","0%","0",1,813
"PETR KORTUS, NEZÁVISLÝ KANDIDÁT","1/7","26","0%","0%","0",0,814
