"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAV ŠAROUN","1/7","0",1,"0","60","0%","0%",801
"JAN MEIDL","1/7","0",1,"0","32","0%","0%",802
"LIBUŠE KAŠPAROVÁ","1/7","0",1,"0","63","100%","0%",803
"FRANTIŠEK KLOUDA","1/7","0",0,"0","41","0%","0%",804
"JOSEF BLAŽEK","1/7","0",1,"0","59","0%","0%",805
"KAREL JANOUŠEK","1/7","0",1,"0","49","0%","0%",806
"JAROMÍR FILIPSKÝ","1/7","0",1,"0","59","0%","0%",807
"JAROSLAV NESHYBA","1/7","0",1,"0","29","0%","0%",808
"JOSEF TESAŘ","1/7","0",1,"0","56","0%","0%",809
"ROSTISLAV SLÁMA","1/7","0",1,"0","41","0%","0%",810
"RADKA LUJCOVÁ","1/7","0",1,"0","25","100%","0%",811
"PAVEL ABRHÁM","1/7","0",0,"0","37","0%","0%",812
"KAREL VONDRÁČEK","1/7","0",0,"0","30","0%","0%",813
