"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"NEZÁVISLÝ KANDIDÁT - DAVID HOLÝ","1/7","0",0,"0","38","0%","0%",801
"JUDR. ZDENĚK POSPÍŠIL","1/7","1",0,"0","66","0%","100%",802
"NEZÁVISLÝ KANDIDÁT - MICHAL GLASER","1/7","0",1,"0","47","0%","0%",803
"NEZÁVISLÝ KANDIDÁT - JINDŘICH ŠTENCL","1/7","0",0,"0","36","0%","0%",804
"LENKA ČÍŽKOVÁ","1/7","0",1,"0","56","100%","0%",805
"NEZÁVISLÝ KANDIDÁT - JIŘÍ KADLEC","1/7","0",0,"0","51","0%","0%",806
"NEZÁVISLÝ KANDIDÁT - KAREL ČADIL","1/7","0",1,"0","43","0%","100%",807
"OLDŘICH LACINA","1/7","1",0,"0","58","0%","0%",808
"NEZÁVISLÝ KANDIDÁT - MGR. ALEŠ VYKYDAL","1/7","0",0,"0","42","0%","100%",809
"NEZÁVISLÝ KANDIDÁT - JAN KUPR","1/7","0",0,"0","40","0%","0%",810
"NEZÁVISLÝ KANDIDÁT - MIROSLAV FIKES","1/7","0",0,"0","44","0%","0%",811
"NEZÁVISLÝ KANDIDÁT - MATOUŠ RAJMONT","1/7","0",0,"0","41","0%","0%",812
"NEZÁVISLÝ KANDIDÁT - RADKA DOLEJŠOVÁ","1/7","0",0,"0","43","100%","0%",813
