"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"OBČANÉ PRO OBEC","7/7","37,3","71%","0%","7",0,901
"ZA OBEC KRÁSNĚJŠÍ","6/7","36,5","33%","0%","0",0,902
