"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ANNA PYTLÍKOVÁ","1/9","1",0,"0","53","100%","0%",801
"JAROSLAV BUREŠ","1/9","1",0,"0","56","0%","0%",802
"JAROSLAV KOUTNÝ","1/9","1",0,"0","63","0%","0%",803
"JAROSLAV SEJKORA","1/9","0",0,"0","40","0%","0%",804
"JOSEF LORENC","1/9","1",0,"0","66","0%","0%",805
"LADISLAV KULHAVÝ","1/9","1",0,"0","66","0%","0%",806
"LIBOR LNĚNIČKA","1/9","0",0,"0","60","0%","0%",807
"LUKÁŠ SODOMKA","1/9","0",0,"0","31","0%","0%",808
"MARTIN NEŠETŘIL","1/9","0",0,"0","46","0%","0%",809
"MIROSLAV TRUNEC","1/9","0",0,"0","21","0%","0%",810
"PAVLÍNA LEBEDOVÁ","1/9","1",0,"0","45","100%","0%",811
"PAVLÍNA LEBEDOVÁ ML.","1/9","0",0,"0","23","0%","0%",812
"PAVLÍNA SEJKOROVÁ","1/9","0",0,"0","40","100%","0%",813
"ROMAN OPLETAL","1/9","0",0,"0","42","0%","0%",814
"VÁCLAV TMĚJ","1/9","1",0,"0","58","0%","0%",815
