"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"BC. PETRA BAREŠOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","30","100%","100%",801
"PETR KYSELO, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","0%",802
"BC. JANA LHOTÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","24","100%","100%",803
"TOMÁŠ ZAHÁLKA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","0%","0%",804
"SVĚTLUŠE FIKAROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","50","100%","0%",805
"ALEŠ KREJCAR, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","29","0%","0%",806
"MARIE HORÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","55","100%","0%",807
"JOSEF HORNÍK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","59","0%","0%",808
"JAN ŠEDINA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","0%","0%",809
"MGR. VĚRA RYGLOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","100%","100%",810
