"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"MÁME RÁDI DOBŘICHOVICE - SDRUŽENÍ ODS A NEZÁVISLÝCH KANDIDÁTŮ","15/15","47,5","13%","80%","7",1,389
"""SPOLEČNĚ PRO DOBŘICHOVICE"" - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ A TOP 09 A STAROSTOVÉ A NEZÁVISLÍ","15/15","42,7","20%","73%","0",1,495
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","54,4","40%","47%","0",2,7
"FÓRUM OBČANŮ DOBŘICHOVIC (FOD) S PODPOROU KANDIDÁTŮ STRANY ZELENÝCH  (SZ)","15/15","44,5","60%","73%","0",0,901
