"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ING. JOSEF MAREŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","27","0%","100%",801
"MARTIN HANZLÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","31","0%","0%",802
"JAROSLAV HANZLÍK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","60","0%","0%",803
"MARTIN KUBÍČEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","45","0%","0%",804
"JAKUB BERAN, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","24","0%","0%",805
"MICHAL DOLEJŠÍ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","29","0%","0%",806
"MICHAELA SMRTOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","31","100%","0%",807
"LIBOR KOUTNÍK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","42","0%","0%",808
"ING. HELENA PIŠTĚKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","34","100%","100%",809
"JAROSLAV KOUTNÍK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","45","0%","0%",810
"PAVEL REINDL, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","43","0%","0%",811
