"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ALEŠ MELICHAR, NEZÁVISLÝ KANDIDÁT","1/11","0",0,"0","27","0%","0%",801
"MGR. ANNA ROZMAROVÁ, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","62","100%","100%",802
"ANTONÍN STRNAD, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","37","0%","0%",803
"DAVID SAMEŠ, NEZÁVISLÝ KANDIDÁT","1/11","0",0,"0","39","0%","0%",804
"DOBROSLAV VÉLE, NEZÁVISLÝ KANDIDÁT","1/11","0",0,"0","36","0%","0%",805
"JAROSLAV VORTEL, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","56","0%","0%",806
"MONIKA BRABCOVÁ, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","44","100%","0%",807
"MILAN KVOCH, NEZÁVISLÝ KANDIDÁT","1/11","0",0,"0","26","0%","0%",808
"MIROSLAV MENCL, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","32","0%","0%",809
"MARCELA NÁHLOVSKÁ, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","43","100%","0%",810
"MICHAL ŠMEJDA, NEZÁVISLÝ KANDIDÁT","1/11","0",0,"0","30","0%","0%",811
"AKAD.SOCH. PAVEL BROŽEK, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","53","0%","100%",812
"PETR BUŠEK, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","44","0%","0%",813
"PAVEL MÜLLER, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","59","0%","0%",814
"RADEK ČERVA, NEZÁVISLÝ KANDIDÁT","1/11","1",0,"0","49","0%","0%",815
