"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"ZDENĚK KNOS","1/7","45","0%","0%","0",0,801
"DAVID ŠINDELÁŘ","1/7","37","0%","0%","0",0,802
"JAN POUKAR","1/7","31","0%","0%","0",0,803
"PETR MÁCA","1/7","37","0%","0%","0",0,804
"EVA SKÁLOVÁ","1/7","40","100%","0%","0",0,805
"FRANTIŠEK MÁCA","1/7","51","0%","0%","0",0,806
"ROSTISLAV FOUS","1/7","53","0%","0%","0",0,807
"DUŠAN BLÁHA","1/7","36","0%","0%","0",0,808
"PETR HAVRÁNEK","1/7","43","0%","0%","0",0,809
"JANA JAKOUBKOVÁ","1/7","42","100%","0%","0",0,810
"JIŘÍ NOVOTNÝ","1/7","47","0%","0%","0",0,811
