"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JIŘÍ PEJŠA, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","61","0%","0%",801
"ING. KAREL TŮMA, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","36","0%","100%",802
"ING. ANTONÍN BROŽ, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","60","0%","100%",803
"PETRA TEJNOROVÁ, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","33","100%","0%",804
"ING. BC. ANTONÍN ŠMEJKAL, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","47","0%","100%",805
"ING. RADKA KOUTENSKÁ, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","40","100%","100%",806
"FRANTIŠEK CMUNT, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","58","0%","0%",807
"LENKA PÍPALOVÁ, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","41","100%","0%",808
"JITKA NOVOTNÁ, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","45","100%","0%",809
"RNDR. MARKÉTA ČAPKOVÁ, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","38","100%","100%",810
"MILOŠ NĚMEČEK, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","43","0%","0%",811
"VLADIMÍR NOVOTNÝ, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","44","0%","0%",812
"JAN KROMKA, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","30","0%","0%",813
"TOMÁŠ PAZOUREK, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","36","0%","0%",814
"VÁCLAV HOUŠKA, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","49","0%","0%",815
"JIŘÍ JANOUŠEK, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","68","0%","0%",816
"ALEŠ SVÁTEK, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","41","0%","0%",817
"JAN VAVŘÍK, NEZÁVISLÝ KANDIDÁT","1/15","1",0,"0","58","0%","0%",818
"JITKA TEJNOROVÁ, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","37","100%","0%",819
"ALEŠ KOSOBUD, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","28","0%","0%",820
"JINDRA HOUŠKOVÁ, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","40","100%","0%",821
"LADISLAV ZRŮST, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","48","0%","0%",822
"DANIEL VRÁNEK, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","38","0%","0%",823
"JOSEF VANŽURA, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","44","0%","0%",824
"JITKA KÖCHERTOVÁ, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","37","100%","0%",825
"STANISLAV SLÁMA, NEZÁVISLÝ KANDIDÁT","1/15","0",0,"0","29","0%","0%",826
