"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","15/15","3",1,"3","41,7","40%","20%",1
"STAROSTOVÉ A NEZÁVISLÍ","15/15","0",13,"2","49,9","40%","13%",166
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","2",1,"1","48,3","40%","7%",47
"NEZÁVISLÍ KANDIDÁTI OBCE NEDAKONICE","15/15","0",9,"6","36,9","33%","33%",901
"NEZÁVISLÍ PRO OBEC","15/15","2",2,"4","43,7","33%","20%",902
