"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ALEŠ ROSA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","38","0%","0%",801
"PAVEL HORÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","49","0%","0%",802
"ROMAN HRADECKÝ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","48","0%","0%",803
"ING. PETRA ERLEBACHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","28","100%","100%",804
"ING. MILOSLAVA ERLEBACHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","50","100%","100%",805
"LEA PATKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","48","100%","0%",806
"PATRIK NOSEK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","0%",807
"TOMÁŠ HUDEC, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","35","0%","0%",808
"VĚRA POLÁKOVÁ (JUNKOVÁ), NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","0%",809
"MARTIN KVÁŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","56","0%","0%",810
"JOSEF ULRICH, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","48","0%","0%",811
"LUBOŠ HORÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","54","0%","0%",812
