"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ZUZANA PETRŮ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","0%",801
"JAN JANDÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","0%","0%",802
"JAN VRANÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","0%","100%",803
"BOHUMIL VOKÁČ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","36","0%","0%",804
"VÁCLAV KADEŘÁBEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","52","0%","0%",805
"MICHAELA MACHÁČKOVÁ HOLCOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","100%","0%",806
"PETR JENČÍK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","63","0%","100%",807
"MILOSLAVA KOCÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","51","100%","0%",808
"JOSEF KAREL, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","61","0%","0%",809
"HELENA TYKALOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","64","100%","0%",810
"MILOSLAV OTEC, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","27","0%","0%",811
