"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MILOŠ KARÁSEK","1/9","0",0,"0","39","0%","0%",801
"ING. MONIKA MAULE","1/9","0",0,"0","26","0%","100%",802
"KAREL KLOUDA","1/9","0",1,"0","66","0%","0%",803
"PETR NOVÁK","1/9","0",0,"0","31","0%","0%",804
"BC. JAN MAŠTERA","1/9","0",0,"0","24","0%","100%",805
"PETR SYROVÝ","1/9","0",0,"0","34","0%","0%",806
"ING. OTAKAR MAŠTERA","1/9","0",1,"0","50","0%","100%",807
"GABRIELA NUTILOVÁ, DIS.","1/9","0",0,"0","38","100%","100%",808
"MGR. MIROSLAV NUTIL","1/9","0",1,"0","65","0%","100%",809
"BC. ŠÁRKA MAJEROVÁ","1/9","0",1,"0","32","100%","100%",810
"LUCIE TRETEROVÁ","1/9","0",0,"0","41","100%","0%",811
"FRANTIŠEK DVOŘÁK","1/9","0",0,"0","66","0%","0%",812
"VLADIMÍR KLOUDA","1/9","0",1,"0","63","0%","0%",813
