"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JOSEF ČIHAŘ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","0%","0%",801
"MILOŠ BOHUSLAV, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","61","0%","0%",802
"MIROSLAV DOPITA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","55","0%","0%",803
"JANA ČIHAŘOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","61","100%","0%",804
"ZDENĚK DRS, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","67","0%","0%",805
"RENÁTA NOVÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","25","100%","0%",806
"JAN RYPÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","40","0%","0%",807
"MARIE LEMPACHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","54","100%","0%",808
"JITKA KALOUSKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","39","100%","0%",809
"LUKÁŠ MAREŠ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","34","0%","0%",810
