"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MILENA KOLÁČKOVÁ","1/7","0",0,"0","46","100%","0%",801
"MARTA KOMENDOVÁ","1/7","0",1,"0","66","100%","0%",802
"BOHUSLAV PŘIBYL","1/7","0",0,"0","63","0%","0%",803
"EVA SÝKOROVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","39","100%","0%",804
"FRANTIŠEK DIBELKA","1/7","0",0,"0","65","0%","0%",805
"RADEK DURAJKA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","44","0%","0%",806
"ALEXANDR GÁFRIK","1/7","0",0,"0","30","0%","0%",807
"RADIM PRUKNER","1/7","0",1,"0","34","0%","0%",808
"MICHAL ŠEDA","1/7","0",0,"0","28","0%","0%",809
"VLADIMÍR INDRA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","48","0%","0%",810
