"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MGR. SOŇA RADOŇOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","29","100%","100%",801
"PAVEL NOVÁK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","45","0%","0%",802
"JIŘÍ MUŽÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","41","0%","0%",803
"JAROSLAVA NOVOTNÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","70","100%","0%",804
"JAN KOPELENT, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","62","0%","0%",805
"ING. ROMAN ŠTAJNER, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","100%",806
"TOMÁŠ PROKOP, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","51","0%","0%",807
"PAVEL JANKO, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","48","0%","0%",808
"PETR BRANDEJS, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","50","0%","0%",809
"VÍT NOVÁK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","29","0%","0%",810
"ROMAN KRATOCHVÍL, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","39","0%","0%",811
