"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KAREL BABICKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","46","0%","0%",801
"DRAHOMÍRA BERÁNKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","41","100%","0%",802
"MARIE KOTTOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","45","100%","0%",803
"KAREL NOVOTNÝ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","56","0%","0%",804
"BC. LUBOŠ RAČANSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","29","0%","100%",805
"BLANKA VOLKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","40","100%","0%",806
"ALEŠ SVATOŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","32","0%","0%",807
"JOSEF DANĚK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","45","0%","0%",808
"JAN ŠTÍCHA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","31","0%","0%",809
"IVETA DAŇKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","45","100%","0%",810
"JAN ŽÁK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","68","0%","0%",811
"MS OSTŘÍŽ ZVĚSTOV","2/7","0",2,"0","37","0%","0%",901
