"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"RUDOLF MIK","1/5","64","0%","0%","1",0,801
"EVA ŠANDEROVÁ","1/5","47","100%","0%","1",0,802
"RUDOLF RŮŽIČKA","1/5","68","0%","0%","1",0,803
"JAN PETR","1/5","35","0%","0%","1",0,804
"ROMAN HANČÍK","1/5","52","0%","0%","0",0,805
"JOSEF PETR","1/5","61","0%","0%","1",0,806
"MARIE PEŇÁZOVÁ","1/5","67","100%","0%","0",0,807
"JAROSLAV HAVLÍK","1/5","44","0%","0%","0",0,808
"ZDENĚK PETR","1/5","43","0%","0%","0",0,809
"VÍTĚZSLAVA PETROVÁ","1/5","32","100%","0%","0",0,810
"PETR KOUBEK","1/5","62","0%","0%","0",0,811
"LENKA KOLBÁBKOVÁ","1/5","38","100%","0%","0",0,812
"ZDEŇKA HRUŠKOVÁ","1/5","55","100%","0%","0",0,813
