"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"VÁCLAV CHLUMECKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","52","0%","0%",801
"LADISLAV BOSMAN, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","51","0%","0%",802
"MILAN MÁLEK, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","35","0%","0%",803
"MICHAL PETROVICKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","35","0%","0%",804
"RADEK SAKAŘ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","32","0%","0%",805
"MARTIN KOPÁČ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","31","0%","0%",806
"JIŘÍ TOMEŠ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","25","0%","0%",807
"JAN CHLUMECKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","26","0%","0%",808
"JIŘINA HAVLÍČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","25","100%","0%",809
"HANA KOPÁČOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","58","100%","0%",810
