"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ZDENĚK MIKEŠ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","38","0%","0%",801
"ING. FRANTIŠEK JIRÁNEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","64","0%","0%",802
"FRANTIŠEK PAVLIŠTA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","41","0%","0%",803
"MGR. ŠTĚPÁNKA SICHROVSKÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","41","100%","0%",804
"MIROSLAV PYTLOUN, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","66","0%","0%",805
"JOSEF ŠENBERK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","62","0%","0%",806
"JAROSLAV NAJMAN, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","30","0%","0%",807
"DAVID VINCOUR, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","34","0%","0%",808
"DAGMAR MELICHAROVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","50","100%","0%",809
"JIŘÍ PELINKA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","62","0%","0%",810
"MGR. ZDENĚK STARÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","68","0%","0%",811
"MGR. TOMÁŠ ROLF, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","30","0%","100%",812
"LUBOMÍR KOLOMAZNÍK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","68","0%","0%",813
"ING. JOSEF PYTLOUN, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","53","0%","0%",814
"ING. PETR NEUMANN, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","48","0%","0%",815
"HOZÁK MARTIN, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","36","0%","0%",816
