"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ING. JAN STRÁNSKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","36","0%","100%",801
"JOSEF HOLÍNKA, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","44","0%","0%",802
"MILAN VAŇOUS, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","23","0%","0%",803
"PETR ŠTANGLER, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","46","0%","0%",804
"ING. VLADIMÍR KOLÁŘ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","41","0%","100%",805
"JARMILA ŠILAROVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","56","100%","0%",806
"JAN DOLEČEK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","56","0%","0%",807
"JAN KAPLAN, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","39","0%","0%",808
"JOSEF ŠTIKA, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","43","0%","0%",809
"JAROSLAV VENCL, NEZÁVISLÝ KANDIDÁT","1/9","0",1,"0","56","0%","0%",810
"PAVLÍNA NOVÁKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","40","100%","0%",811
"HANA POPELKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","52","100%","0%",812
"RADOMÍR ZÁLESKÝ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","40","0%","0%",813
