"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"STANISLAVA CHOUROVÁ","1/7","0",0,"0","30","100%","0%",801
"ING. PAVLÍNA KŮLOVÁ","1/7","0",0,"0","42","100%","100%",802
"VLADIMÍR HOCH","1/7","0",1,"0","45","0%","0%",803
"PAVEL VOJTA","1/7","0",1,"0","39","0%","0%",804
"ROMAN VODÁK","1/7","0",0,"0","36","0%","0%",805
"JOSEF BLATSKÝ","1/7","0",1,"0","49","0%","0%",806
"MARKÉTA VOJTOVÁ","1/7","0",0,"0","36","100%","0%",807
"MILOSLAV KOPTA","1/7","0",0,"0","43","0%","0%",808
"ING. KAMIL LOJÍK","1/7","0",0,"0","29","0%","100%",809
"JOSEF DIVIŠ","1/7","0",1,"0","46","0%","0%",810
