"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"NEZÁVISLÝ KANDIDÁT ING.JIŘÍ HÖNIG","1/9","0",1,"0","54","0%","100%",801
"MARTINA BRŮŽKOVÁ","1/9","0",1,"0","39","100%","0%",802
"PETR FISCHER","1/9","0",1,"0","54","0%","0%",803
"JAN TUREK","1/9","1",0,"0","36","0%","0%",804
"VÁCLAV BRŮŽEK","1/9","0",1,"0","65","0%","0%",805
"ING. OTA STEHNO","1/9","0",1,"0","33","0%","100%",806
"JAN STEHNO","1/9","0",0,"0","31","0%","0%",807
"LENKA FILIPOVÁ","1/9","0",0,"0","39","100%","0%",808
"PETR KOUTSKÝ","1/9","0",0,"0","43","0%","0%",809
"ING. LIBOR PERNER","1/9","0",0,"0","45","0%","100%",810
"LADISLAV FILIP","1/9","0",1,"0","41","0%","0%",811
