"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAV KLÍMA","1/7","0",1,"0","67","0%","0%",801
"MGR. RENATA BRTNÍKOVÁ","1/7","0",0,"0","42","100%","100%",802
"JOSEF TEPLÝ","1/7","0",1,"0","67","0%","0%",803
"JOSEF JARKOVSKÝ","1/7","0",1,"0","35","0%","0%",804
"JIŘÍ HUDEC","1/7","0",1,"0","63","0%","0%",805
"JIŘÍ DUŠEK","1/7","0",0,"0","33","0%","0%",806
"JAROSLAV JUNEK","1/7","0",1,"0","47","0%","0%",807
"TOMÁŠ KARETA","1/7","0",0,"0","30","0%","0%",808
"MGR. ALENA HUDCOVÁ","1/7","0",1,"0","67","100%","100%",809
"ING. ILONA ŽALOUDKOVÁ","1/7","0",0,"0","46","100%","100%",810
