"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MARIE KUČÍRKOVÁ","1/7","0",1,"0","39","100%","0%",801
"LUBOŠ VAVŘIČKA","1/7","0",1,"0","53","0%","0%",802
"MARIE MALIMÁNKOVÁ","1/7","0",1,"0","56","100%","0%",803
"JOSEF BOROVSKÝ","1/7","0",1,"0","53","0%","0%",804
"PAVEL MALIMÁNEK","1/7","0",1,"0","58","0%","0%",805
"BC. MICHAELA TVRDÍKOVÁ","1/7","0",1,"0","35","100%","100%",806
"MARTIN TVRDÍK","1/7","0",0,"0","31","0%","0%",807
"JOSEF TVRDÍK","1/7","0",1,"0","35","0%","0%",808
"VÁCLAV MALIMÁNEK","1/7","0",1,"0","39","0%","0%",809
"MVDR. VLADISLAVA POSPÍŠILOVÁ","1/7","0",0,"0","28","100%","100%",810
"LIBOR VODEHNAL","1/7","0",0,"0","42","0%","0%",811
"JOSEF BOUMA","1/7","0",1,"0","61","0%","0%",812
