"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ING. MILOSLAV LAŠTOVKA","1/9","0",1,"0","54","0%","100%",801
"FRANTIŠEK VÁŇA","1/9","0",1,"0","62","0%","0%",802
"BOHUMIL ŠEBA","1/9","0",1,"0","62","0%","0%",803
"IVANA CARDOVÁ","1/9","0",1,"0","51","100%","0%",804
"FRANTIŠEK KŮRKA","1/9","0",1,"0","53","0%","0%",805
"ING. RENÁTA KRMELOVÁ","1/9","0",1,"0","53","100%","100%",806
"MARTIN KLIMEŠ","1/9","0",0,"0","44","0%","0%",807
"ROMAN KADLEC","1/9","0",0,"0","40","0%","0%",808
"RUDOLF JAVŮREK","1/9","0",1,"0","46","0%","0%",809
"ING. ROMAN HLUBINKA","1/9","0",1,"0","51","0%","100%",810
"ONDŘEJ ADAM","1/9","0",1,"0","23","0%","0%",811
"PETR LÁNÍK","1/9","0",0,"0","43","0%","0%",812
