"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"ROSTISLAV KABÍČEK, NEZÁVISLÝ KANDIDÁT","1/7","30","0%","0%","0",0,801
"ALENA TREFILOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","50","100%","0%","1",0,802
"TOMÁŠ KUKLA, NEZÁVISLÝ KANDIDÁT","1/7","33","0%","0%","0",0,803
"JIŘÍ DVOŘÁK, NEZÁVISLÝ KANDIDÁT","1/7","18","0%","0%","1",0,804
"MONIKA TREFILOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","29","100%","0%","0",0,805
"ANTONÍN STRNAD, NEZÁVISLÝ KANDIDÁT","1/7","39","0%","0%","0",0,806
"PETR DVOŘÁK, NEZÁVISLÝ KANDIDÁT","1/7","27","0%","0%","0",0,807
"PAVLÍNA ZAPPOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","24","100%","0%","0",0,808
"JANA ZAPPOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","45","100%","0%","1",0,809
"JAN ZAPPE, NEZÁVISLÝ KANDIDÁT","1/7","25","0%","0%","1",0,810
"PAVLA HEŘMÁNKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","42","100%","0%","1",0,811
"VLADISLAV HLADÍK, NEZÁVISLÝ KANDIDÁT","1/7","61","0%","0%","1",0,812
"LADISLAV ZAPPE, NEZÁVISLÝ KANDIDÁT","1/7","49","0%","0%","1",0,813
"MARCELA ŠRÁMKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","53","100%","0%","0",0,814
"JANA MAREDOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","45","100%","0%","0",0,815
"MARIE STRNADOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","62","100%","0%","0",0,816
"PAVEL KABÍČEK, NEZÁVISLÝ KANDIDÁT","1/7","55","0%","0%","0",0,817
"KAREL MATOUŠEK, NEZÁVISLÝ KANDIDÁT","1/7","41","0%","0%","0",0,818
