"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"LUDĚK NEČAS, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","39","0%","0%",801
"JAN VAVERA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","39","0%","0%",802
"JAN DUDLÍČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","51","0%","0%",803
"JANA KUBÍKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","33","100%","0%",804
"PETR NOVÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","41","0%","0%",805
"JOSEF DVOŘÁK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","53","0%","0%",806
"FRANTIŠEK NOVÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","53","0%","0%",807
"VÁCLAV NEKOLA, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","41","0%","0%",808
"MARTIN SKALÁK, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","34","0%","0%",809
"PRO HARTMANICE","5/7","0",1,"4","37,6","0%","0%",901
