"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JIŘÍ KVAPIL, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","56","0%","0%",801
"MARIE PLEVOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","47","100%","0%",802
"HANA KŮRKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","55","100%","0%",803
"MILAN KUNC, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","44","0%","0%",804
"LADISLAV BŘICHÁČ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","42","0%","0%",805
"PAVEL ADAMEC, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","58","0%","100%",806
"LUBOMÍR KOREC, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","57","0%","0%",807
"MGR. IVETA KOMÁRKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","0",1,"0","48","100%","100%",808
"LUBOMÍR KOZLOVSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","58","0%","0%",809
"MIROSLAVA STARÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","56","100%","0%",810
